BIN
588845
588846
636120
968201
484783
968203
489317
410685
446672
588850
554180
537767
588982
588851
428331
419593
531196
440647
493428
417633
446393
968205
486094
489318
432328
543357
968202
549760
535989
589005
605141
483010
439954
412565
440795
539931
468540
588847
462220
486095
489319
428671
434107
535825
588849
536023
508160
968204
483011
407197
506968
446404
558848
468541
400861
455708
486096
445564
428672
431361
529415
968209
513213
531095
422817
483012
407395
457865
557606
468542
409201
588848
504300
968211
428673
604906
543085
524514
585265
530906
422818
589206
520058
968208
968210
468543
458456
455036
440533
401757
968206
521076
524130
529741
588983
532013
422819
968207
530060
424242
